user_id,item_id
13085,21232
13085,21523
13085,21198
13085,22179
13085,21564
13085,22244
13085,22200
13085,79323P
13085,22041
13085,40046A
13085,22136
13085,22349
13085,22350
13085,22328
13085,21955
13085,22326
13085,48138
13085,79323W
13085,22353
13085,22064
13085,22245
13085,21137
13085,21068
13085,22414
13085,84992
13085,21871
13085,22195
13085,22201
13085,22202
13085,21563
13085,21199
13085,22204
13085,85048
13078,21623
13078,84596L
13078,21916
13078,21071
13078,22736
13078,22194
13078,22487
13078,35004B
13078,22585
13078,84306
13078,22107
13078,21621
13078,48138
13078,21333
13078,21479
13078,84251F
13078,21464
13078,84762C
13078,22191
13078,22142
13078,85114B
13078,21745
13078,21181
13078,46000M
13078,22119
13078,21523
13078,22365
13078,22738
13078,85152
13078,82600
13078,84050
13078,79323W
13078,85124B
13078,84879
13078,84692
13078,84846A
13078,82582
13078,48184
13078,22109
13078,22952
13078,21590
13078,84596J
13078,84762A
13078,22461
13078,22296
13078,22111
13078,22430
13078,35004G
13078,48173C
13078,22041
13078,22349
13078,21622
13078,21463
13078,35832
13078,85124A
13078,22612
13078,21186
13078,84029E
13078,21067
13078,79321
13078,21714
13078,21626
13078,85164B
13078,22047
13078,21755
13078,21754
13078,82599
13078,82001S
13078,84596F
13078,79323P
13078,22192
13078,22611
13078,21593
13078,22295
13078,22485
13078,22910
13078,84763
13078,21791
13078,84596K
13078,21758
13078,21066
13078,85124C
13078,21756
13078,46000S
13078,21871
13078,84762B
13078,84659A
13078,84596B
13078,48197
13078,22193
15362,21351
15362,22143
15362,22130
15362,21828
15362,35400
15362,22145
15362,85135C
15362,22434
15362,22274
15362,21364
15362,22440
15362,10002
15362,20702
15362,22112
15362,22139
15362,20703
15362,20971
15362,22548
15362,21833
15362,22271
15362,21056
15362,21352
15362,84270
15362,20695
15362,21987
15362,21360
15362,84077
15362,22272
15362,85136C
15362,84507B
15362,21918
15362,37370
15362,84012
15362,22111
15362,21989
15362,21054
15362,84970S
15362,21912
18102,21547
18102,85128
18102,21623
18102,22283
18102,22691
18102,84032B
18102,21174
18102,22149
18102,21117
18102,48116
18102,22788
18102,48195
18102,22790
18102,15056P
18102,22138
18102,22456
18102,22605
18102,21410
18102,22057
18102,22285
18102,22293
18102,22286
18102,20969
18102,22090
18102,21872
18102,22177
18102,22517
18102,84925F
18102,20970
18102,22470
18102,20728
18102,21179
18102,22281
18102,22474
18102,79303D
18102,48138
18102,48189
18102,48188
18102,84925A
18102,21875
18102,21877
18102,22507
18102,48103
18102,84830
18102,15056BL
18102,22764
18102,21768
18102,22379
18102,21554
18102,21759
18102,22519
18102,21411
18102,22166
18102,21425
18102,21548
18102,21323
18102,84922
18102,22273
18102,22284
18102,37482B
18102,84767
18102,48179
18102,22386
18102,22272
18102,85183A
18102,22763
18102,22083
18102,21796
18102,21527
18102,22518
18102,21552
18102,85066
18102,22084
18102,84031A
